"Total_Score","Group","Treatment"
9.5,"A","Sign"
9,"A","Sign"
9,"A","Sign"
9,"A","Sign"
8.5,"A","Sign"
8.5,"A","Sign"
8,"A","Sign"
8,"A","Sign"
7.6,"A","Sign"
7.5,"A","Sign"
7.5,"A","Sign"
7.5,"A","Sign"
7.5,"A","Sign"
7.5,"A","Sign"
7.5,"A","Sign"
7.5,"A","Sign"
7.5,"A","Sign"
7,"A","Sign"
7,"A","Sign"
7,"A","Sign"
7,"A","Sign"
7,"A","Sign"
7,"A","Sign"
7,"A","Sign"
7,"A","Sign"
7,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6.5,"A","Sign"
6,"A","Sign"
6,"A","Sign"
6,"A","Sign"
6,"A","Sign"
6,"A","Sign"
6,"A","Sign"
6,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5.5,"A","Sign"
5,"A","Sign"
5,"A","Sign"
5,"A","Sign"
5,"A","Sign"
5,"A","Sign"
5,"A","Sign"
5,"A","Sign"
5,"A","Sign"
4.5,"A","Sign"
4.5,"A","Sign"
4.5,"A","Sign"
4.5,"A","Sign"
4.5,"A","Sign"
4.5,"A","Sign"
4.5,"A","Sign"
4.5,"A","Sign"
4.5,"A","Sign"
4.5,"A","Sign"
4,"A","Sign"
4,"A","Sign"
4,"A","Sign"
4,"A","Sign"
4,"A","Sign"
3.5,"A","Sign"
3.5,"A","Sign"
3.5,"A","Sign"
3.5,"A","Sign"
3.5,"A","Sign"
3.5,"A","Sign"
3,"A","Sign"
3,"A","Sign"
3,"A","Sign"
3,"A","Sign"
2.5,"A","Sign"
2.5,"A","Sign"
2.5,"A","Sign"
2.5,"A","Sign"
1.5,"A","Sign"
9,"B","Placard"
9,"B","Placard"
8.5,"B","Placard"
8.5,"B","Placard"
8,"B","Placard"
8,"B","Placard"
8,"B","Placard"
8,"B","Placard"
7.5,"B","Placard"
7.5,"B","Placard"
7.5,"B","Placard"
7.5,"B","Placard"
7.5,"B","Placard"
7.5,"B","Placard"
7.5,"B","Placard"
7.5,"B","Placard"
7,"B","Placard"
7,"B","Placard"
7,"B","Placard"
7,"B","Placard"
7,"B","Placard"
7,"B","Placard"
7,"B","Placard"
7,"B","Placard"
7,"B","Placard"
7,"B","Placard"
7,"B","Placard"
7,"B","Placard"
6.5,"B","Placard"
6.5,"B","Placard"
6.5,"B","Placard"
6.5,"B","Placard"
6.5,"B","Placard"
6.5,"B","Placard"
6,"B","Placard"
6,"B","Placard"
6,"B","Placard"
6,"B","Placard"
6,"B","Placard"
6,"B","Placard"
6,"B","Placard"
6,"B","Placard"
6,"B","Placard"
6,"B","Placard"
6,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5.5,"B","Placard"
5,"B","Placard"
5,"B","Placard"
5,"B","Placard"
5,"B","Placard"
5,"B","Placard"
5,"B","Placard"
5,"B","Placard"
5,"B","Placard"
5,"B","Placard"
5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4.5,"B","Placard"
4,"B","Placard"
3.5,"B","Placard"
3.5,"B","Placard"
3.5,"B","Placard"
3.5,"B","Placard"
3,"B","Placard"
2.5,"B","Placard"
2.5,"B","Placard"
2.5,"B","Placard"
1.5,"B","Placard"
1.5,"B","Placard"
10,"C","Interpreter"
10,"C","Interpreter"
10,"C","Interpreter"
10,"C","Interpreter"
9,"C","Interpreter"
9,"C","Interpreter"
9,"C","Interpreter"
9,"C","Interpreter"
9,"C","Interpreter"
9,"C","Interpreter"
9,"C","Interpreter"
8.5,"C","Interpreter"
8.5,"C","Interpreter"
8.5,"C","Interpreter"
8.5,"C","Interpreter"
8.5,"C","Interpreter"
8.5,"C","Interpreter"
8.5,"C","Interpreter"
8,"C","Interpreter"
8,"C","Interpreter"
8,"C","Interpreter"
8,"C","Interpreter"
8,"C","Interpreter"
8,"C","Interpreter"
8,"C","Interpreter"
7.5,"C","Interpreter"
7.5,"C","Interpreter"
7.5,"C","Interpreter"
7.5,"C","Interpreter"
7,"C","Interpreter"
7,"C","Interpreter"
7,"C","Interpreter"
7,"C","Interpreter"
7,"C","Interpreter"
7,"C","Interpreter"
7,"C","Interpreter"
6.5,"C","Interpreter"
6.5,"C","Interpreter"
6.5,"C","Interpreter"
6.5,"C","Interpreter"
6.5,"C","Interpreter"
6.5,"C","Interpreter"
6.5,"C","Interpreter"
6.5,"C","Interpreter"
6.5,"C","Interpreter"
6,"C","Interpreter"
6,"C","Interpreter"
6,"C","Interpreter"
6,"C","Interpreter"
6,"C","Interpreter"
5.5,"C","Interpreter"
5.5,"C","Interpreter"
5.5,"C","Interpreter"
5.5,"C","Interpreter"
5.5,"C","Interpreter"
5.5,"C","Interpreter"
5.5,"C","Interpreter"
5.5,"C","Interpreter"
5.5,"C","Interpreter"
5.5,"C","Interpreter"
5.5,"C","Interpreter"
5,"C","Interpreter"
5,"C","Interpreter"
5,"C","Interpreter"
5,"C","Interpreter"
5,"C","Interpreter"
5,"C","Interpreter"
5,"C","Interpreter"
4.5,"C","Interpreter"
4.5,"C","Interpreter"
4.5,"C","Interpreter"
4.5,"C","Interpreter"
4.5,"C","Interpreter"
4.5,"C","Interpreter"
4.5,"C","Interpreter"
4,"C","Interpreter"
4,"C","Interpreter"
4,"C","Interpreter"
4,"C","Interpreter"
4,"C","Interpreter"
4,"C","Interpreter"
4,"C","Interpreter"
4,"C","Interpreter"
3.5,"C","Interpreter"
3.5,"C","Interpreter"
3.5,"C","Interpreter"
3.5,"C","Interpreter"
2.5,"C","Interpreter"
2.5,"C","Interpreter"
2,"C","Interpreter"
1.5,"C","Interpreter"
