PLOT,Alopacce,Alopcune,Alopfabr,Arctlute,Arctperi,Auloalbi,Pardlugu,Pardmont,Pardnigr,Pardpull,Trocterr,Zoraspin
P1,5,3.16227766,0,0,0,2,0,7.745966692,3.464101615,6.708203932,7.549834435,2
P2,0,1.414213562,0,0,0,5.477225575,1,1,3.872983346,6.08276253,8.062257748,3
P3,3.872983346,4.472135955,1.414213562,1.414213562,0,3,1,5.385164807,4.242640687,6.708203932,8.124038405,1
P4,1.414213562,2.449489743,0,1,0,4.898979486,1,2.645751311,5.385164807,9.695359715,9.273618495,5
P5,1,4.472135955,0,1.414213562,0,3,1,1.414213562,11.61895004,8.717797887,9.539392014,4.123105626
p6,0,2.449489743,0,2.449489743,0,2.449489743,0,3.31662479,5.196152423,4.898979486,7.937253933,5.830951895
P7,1.414213562,2.645751311,0,3.464101615,0,4,1,5.477225575,9.433981132,10.24695077,10.86278049,4
P8,0,3.31662479,0,0,0,2.645751311,7.416198487,1.414213562,1.414213562,1,5.477225575,1.732050808
P9,1,1,0,0,0,0,0,5.099019514,1,1,1.414213562,0
P10,1.732050808,0,1,0,0,0,0,4.69041576,0,0,1,0
P11,3.872983346,1,1.414213562,0,0,1,0,9.746794345,0,1,2,0
P12,4,3.605551275,0,0,0,0,0,9.797958971,1,2.828427125,3.605551275,0
P13,1.732050808,6.557438524,1,1.414213562,0,4.242640687,1,4.898979486,7.280109889,8.485281374,9.848857802,4.69041576
P14,0,1.414213562,0,1,0,2,1.732050808,3.741657387,3.872983346,8.485281374,9.695359715,5.656854249
P15,0,0,0,0,0,0,2.449489743,0,0,0,5,1.732050808
P16,0,1.732050808,0,0,0,0,2.449489743,0,1.414213562,0,5.291502622,2
P17,0,0,0,0,0,0,1.414213562,0,0,0,4.795831523,1.414213562
P18,0,1,0,0,0,0,2.236067977,0,0,0,5,0
P19,0,1,0,0,0,0,3.464101615,0,1,0,4.69041576,1.732050808
P20,0,1.414213562,0,0,0,0,3.605551275,0,0,0,4.69041576,1.414213562
P21,0,1,0,0,0,0,4,1,0,1,4.242640687,1.414213562
P22,2.645751311,0,4,0,2,0,0,1.414213562,0,0,1,0
P23,4.123105626,0,3.872983346,0,2.645751311,0,1.414213562,2.449489743,0,0,1,0
P24,3.31662479,0,4.472135955,0,2.236067977,0,0,1.732050808,0,0,0,0
P25,3,1,3,0,0,1.414213562,1,3.31662479,2.449489743,0,4,2.449489743
P26,1.732050808,0,2.449489743,0,4.242640687,0,0,0,0,0,1,0
P27,5.385164807,0,3.31662479,0,2,0,0,1,0,0,0,0
P28,3.872983346,0,3.741657387,0,1,0,0,2.449489743,0,0,1.414213562,0
